Escola;Endereço;Telefone;Condição
EEEE ABNAEL MACHADO DE LIMA - CENE;AV. AMAZONAS, 6492 - TIRADENTES, PORTO VELHO - RO, 76848-000;(69) 3226-4680;True
EMEIEF PEQUENOS TALENTOS;R. CAETANO, 3256 - CALADINHO, PORTO VELHO - RO, 76808-108;(69) 3213-2061;True
E. E. E. M. Major Guapindaia; R. Padre Chiquinho, 2375;"(69) 3223-6364Fechado ⋅ Abre seg. às 07:00""Boa escola apesar ee ser pública o ensino é  diferenciado""";False
EMEF Bom Jesus; Rua Equador, 1026-1130;(69) 98471-1367;False
Escola Estadual Mundo Mágico;Não encontrado valor;EscolaRua Fabia, 6382Fechado ⋅ Abre seg. às 08:00;True
EEEFM Marechal Castelo Branco;Av. Farquar, 2627;(69) 3224-4328;False
EMEIEF Nacional; R. Vanderlei Pontes, 3298;(69) 3901-3359;False
EEEFM Prof Flora Calheiros Cotrin;R. Assis Chateaubriand, 7643;(69) 3214-4729Fechado ⋅ Abre seg. às 07:00;False
EEEFM GETÚLIO VARGAS;R. Prudente de Morais, 1924;"(69) 3229-2281Fechado ⋅ Abre seg. às 07:30""É uma escola pública bem aparelhada limpa e com bons professores""";False
IEE Carmela Dutra; Av. Farquar, 1913;(69) 3216-5914;False
C.E.E.J.A. Padre Moretti; R. Herbert de Azevedo, 1649;(69) 3224-2791;False
EMEF Saul Bennesby; R. Algodoeiro, 3130;(69) 3901-3333;False
Escola Duque De Caxias;Av. Farquar, 1969;(69) 3216-5915;False
Eeefm Juscelino Kubitschek De Oliveira;R. Raimundo Cantuária, 5129;(69) 3225-9407Fechado ⋅ Abre seg. às 07:00;False
EMEF Manoel Aparício Nunes Almeida; R. João Elías de Souza, 3757;(69) 3901-3334;False
EMEF Maria Izaura da Costa Cruz; Rua Jardim, 3418;(69) 3901-3351;False
APP da Escola Estadual Petrônio Barcelos; R. Alexandre Guimarães, 3962;(69) 3225-4870;False
EMEIF Joaquim Vicente Rondon; R. Garopaba, 2615;(69) 3213-0043;False
EMEIEF Flor de Laranjeira; R. Buritís, 4316;(69) 3227-3181;False
Escola Municipal Padre Chiquinho;Não encontrado valor;Escola pública998, Av. Campos Sales, 860;True
E.E.E.F.M Prof. Eduardo Lima e Silva;R. Prof. Daniel Neri, 1089;(69) 98155-6322Fechado ⋅ Abre seg. às 08:00;False
EMEF Antonio Ferreira da Silva;Não encontrado valor;Escola públicaR. Duque de Caxias, 2454;True
E. E. E. M. Major Guapindaia; R. Padre Chiquinho, 2375;"(69) 3223-6364Fechado ⋅ Abre seg. às 07:00""Boa escola apesar ee ser pública o ensino é  diferenciado""";False
EMEF Bom Jesus; Rua Equador, 1026-1130;(69) 98471-1367;False
Escola Estadual Mundo Mágico;Não encontrado valor;EscolaRua Fabia, 6382Fechado ⋅ Abre seg. às 08:00;True
EEEFM Marechal Castelo Branco;Av. Farquar, 2627;(69) 3224-4328;False
EMEIEF Nacional; R. Vanderlei Pontes, 3298;(69) 3901-3359;False
EEEFM Prof Flora Calheiros Cotrin;R. Assis Chateaubriand, 7643;(69) 3214-4729Fechado ⋅ Abre seg. às 07:00;False
EEEFM GETÚLIO VARGAS;R. Prudente de Morais, 1924;"(69) 3229-2281Fechado ⋅ Abre seg. às 07:30""É uma escola pública bem aparelhada limpa e com bons professores""";False
IEE Carmela Dutra; Av. Farquar, 1913;(69) 3216-5914;False
C.E.E.J.A. Padre Moretti; R. Herbert de Azevedo, 1649;(69) 3224-2791;False
EMEF Saul Bennesby; R. Algodoeiro, 3130;(69) 3901-3333;False
Escola Duque De Caxias;Av. Farquar, 1969;(69) 3216-5915;False
Eeefm Juscelino Kubitschek De Oliveira;R. Raimundo Cantuária, 5129;(69) 3225-9407Fechado ⋅ Abre seg. às 07:00;False
EMEF Manoel Aparício Nunes Almeida; R. João Elías de Souza, 3757;(69) 3901-3334;False
EMEF Maria Izaura da Costa Cruz; Rua Jardim, 3418;(69) 3901-3351;False
APP da Escola Estadual Petrônio Barcelos; R. Alexandre Guimarães, 3962;(69) 3225-4870;False
EMEIF Joaquim Vicente Rondon; R. Garopaba, 2615;(69) 3213-0043;False
EMEIEF Flor de Laranjeira; R. Buritís, 4316;(69) 3227-3181;False
Escola Municipal Padre Chiquinho;Não encontrado valor;Escola pública998, Av. Campos Sales, 860;True
E.E.E.F.M Prof. Eduardo Lima e Silva;R. Prof. Daniel Neri, 1089;(69) 98155-6322Fechado ⋅ Abre seg. às 08:00;False
EMEF Antonio Ferreira da Silva;Não encontrado valor;Escola públicaR. Duque de Caxias, 2454;True
E. E. E. M. Major Guapindaia; R. Padre Chiquinho, 2375;"(69) 3223-6364Fechado ⋅ Abre seg. às 07:00""Boa escola apesar ee ser pública o ensino é  diferenciado""";False
EEEFM Marechal Castelo Branco;Av. Farquar, 2627;(69) 3224-4328;False
EMEF Bom Jesus; Rua Equador, 1026-1130;(69) 98471-1367;False
EEEFM Prof Flora Calheiros Cotrin;R. Assis Chateaubriand, 7643;(69) 3214-4729Fechado ⋅ Abre seg. às 07:00;False
Escola Estadual Mundo Mágico;Não encontrado valor;EscolaRua Fabia, 6382Fechado ⋅ Abre seg. às 08:00;True
IEE Carmela Dutra; Av. Farquar, 1913;(69) 3216-5914;False
EEEFM GETÚLIO VARGAS;R. Prudente de Morais, 1924;"(69) 3229-2281Fechado ⋅ Abre seg. às 07:30""É uma escola pública bem aparelhada limpa e com bons professores""";False
EMEIEF Nacional; R. Vanderlei Pontes, 3298;(69) 3901-3359;False
C.E.E.J.A. Padre Moretti; R. Herbert de Azevedo, 1649;(69) 3224-2791;False
Escola Duque De Caxias;Av. Farquar, 1969;(69) 3216-5915;False
Eeefm Juscelino Kubitschek De Oliveira;R. Raimundo Cantuária, 5129;(69) 3225-9407Fechado ⋅ Abre seg. às 07:00;False
EMEF Maria Izaura da Costa Cruz; Rua Jardim, 3418;(69) 3901-3351;False
EMEF Saul Bennesby; R. Algodoeiro, 3130;(69) 3901-3333;False
EMEIF Joaquim Vicente Rondon; R. Garopaba, 2615;(69) 3213-0043;False
EMEF Manoel Aparício Nunes Almeida; R. João Elías de Souza, 3757;(69) 3901-3334;False
APP da Escola Estadual Petrônio Barcelos; R. Alexandre Guimarães, 3962;(69) 3225-4870;False
E.E.E.F.M Prof. Eduardo Lima e Silva;R. Prof. Daniel Neri, 1089;(69) 98155-6322Fechado ⋅ Abre seg. às 08:00;False
Escola Municipal Padre Chiquinho;Não encontrado valor;Escola pública998, Av. Campos Sales, 860;True
EMEF Antonio Ferreira da Silva;Não encontrado valor;Escola públicaR. Duque de Caxias, 2454;True
EMEIEF Flor de Laranjeira; R. Buritís, 4316;(69) 3227-3181;False
E. E. E. M. Major Guapindaia; R. Padre Chiquinho, 2375;"(69) 3223-6364Fechado ⋅ Abre seg. às 07:00""Boa escola apesar ee ser pública o ensino é  diferenciado""";False
EMEF Bom Jesus; Rua Equador, 1026-1130;(69) 98471-1367;False
Escola Estadual Mundo Mágico;Não encontrado valor;EscolaRua Fabia, 6382Fechado ⋅ Abre seg. às 08:00;True
EEEFM Marechal Castelo Branco;Av. Farquar, 2627;(69) 3224-4328;False
EMEIEF Nacional; R. Vanderlei Pontes, 3298;(69) 3901-3359;False
EEEFM Prof Flora Calheiros Cotrin;R. Assis Chateaubriand, 7643;(69) 3214-4729Fechado ⋅ Abre seg. às 07:00;False
EEEFM GETÚLIO VARGAS;R. Prudente de Morais, 1924;"(69) 3229-2281Fechado ⋅ Abre seg. às 07:30""É uma escola pública bem aparelhada limpa e com bons professores""";False
IEE Carmela Dutra; Av. Farquar, 1913;(69) 3216-5914;False
C.E.E.J.A. Padre Moretti; R. Herbert de Azevedo, 1649;(69) 3224-2791;False
EMEF Saul Bennesby; R. Algodoeiro, 3130;(69) 3901-3333;False
Escola Duque De Caxias;Av. Farquar, 1969;(69) 3216-5915;False
Eeefm Juscelino Kubitschek De Oliveira;R. Raimundo Cantuária, 5129;(69) 3225-9407Fechado ⋅ Abre seg. às 07:00;False
EMEF Manoel Aparício Nunes Almeida; R. João Elías de Souza, 3757;(69) 3901-3334;False
EMEF Maria Izaura da Costa Cruz; Rua Jardim, 3418;(69) 3901-3351;False
APP da Escola Estadual Petrônio Barcelos; R. Alexandre Guimarães, 3962;(69) 3225-4870;False
EMEIF Joaquim Vicente Rondon; R. Garopaba, 2615;(69) 3213-0043;False
EMEIEF Flor de Laranjeira; R. Buritís, 4316;(69) 3227-3181;False
Escola Municipal Padre Chiquinho;Não encontrado valor;Escola pública998, Av. Campos Sales, 860;True
E.E.E.F.M Prof. Eduardo Lima e Silva;R. Prof. Daniel Neri, 1089;(69) 98155-6322Fechado ⋅ Abre seg. às 08:00;False
EMEF Antonio Ferreira da Silva;Não encontrado valor;Escola públicaR. Duque de Caxias, 2454;True
