nome;sigla;restricao
Escola Municipal de Ensino Médio;EM;pública
Escola Municipal de Ensino Superior;ES;pública
Escola Municipal de Educação Infantil;EI;pública
Escola Municipal de Educação Técnica;ET;pública
Escola Municipal de Educação Fundamental;EMEF;pública
Centro Integrado de Educação de Jovens e Adultos;CIEJA;pública
Centro de Educação Infantil;CEI;pública
Escola Estadual;EE;Pública
Escola Estadual de Educação Infantil EDUCAÇÃO;EEEI;Pública
Escola Estadual Indígena EDUCAÇÃO;EEI;Pública
Escola Federal;EF;Pública 
Escola Municipal de Educação Infantil e Ensino Fundamental;EMEIEF;pública
Escola Municipal de Educação Infantil;EMEI;pública
Escola Estadual de Ensino Especial;EEEE;pública
Escola de Ensino Médio em Tempo Integral;EEMTI;PÚBLICA
Escola Estadual de Ensino Fundamental e Médio;EEEFM
